         4         3         2
        24
         1         0         2         0         5         0        13         1         1         1
         2         1         3         0         6         0        14         2         1         1
         3         2         4         0         7         0        15         3         1         1
         4         3         0         0         8         0        16         4         1         1
         5         0         6         1         9         0        17         1         2         1
         6         5         7         2        10         0        18         2         2         1
         7         6         8         3        11         0        19         3         2         1
         8         7         0         4        12         0        20         4         2         1
         9         0        10         5         0         0        21         1         3         1
        10         9        11         6         0         0        22         2         3         1
        11        10        12         7         0         0        23         3         3         1
        12        11         0         8         0         0        24         4         3         1
        13         0        14         0        17         1         0         1         1         2
        14        13        15         0        18         2         0         2         1         2
        15        14        16         0        19         3         0         3         1         2
        16        15         0         0        20         4         0         4         1         2
        17         0        18        13        21         5         0         1         2         2
        18        17        19        14        22         6         0         2         2         2
        19        18        20        15        23         7         0         3         2         2
        20        19         0        16        24         8         0         4         2         2
        21         0        22        17         0         9         0         1         3         2
        22        21        23        18         0        10         0         2         3         2
        23        22        24        19         0        11         0         3         3         2
        24        23         0        20         0        12         0         4         3         2
